Estabelecimentos encontrados: 262
Tempo DOM: 0.1611s
Tempo SAX: 0.0571s


Estabelecimentos encontrados:

Lat: -12.9823399, Lgt: -38.4552197, Tipo: post_office, Nome: Correios
Lat: -12.9801633, Lgt: -38.4562718, Tipo: theatre, Nome: Teatro Casa do Comércio
Lat: -12.9801933, Lgt: -38.4564012, Tipo: restaurant, Nome: Restaurante Casa do Comércio
Lat: -12.9828769, Lgt: -38.4511997, Tipo: car, Nome: Fiori
Lat: -12.9787335, Lgt: -38.4541865, Tipo: sports, Nome: Centauro
Lat: -12.9780646, Lgt: -38.4545027, Tipo: cinema, Nome: Cinemark
Lat: -12.9816263, Lgt: -38.4497793, Tipo: convenience, Nome: BR Mania
Lat: -12.9826972, Lgt: -38.4545717, Tipo: fast_food, Nome: Império dos Lanches
Lat: -12.9796373, Lgt: -38.4511108, Tipo: bank, Nome: Bradesco
Lat: -12.9786897, Lgt: -38.4547944, Tipo: fast_food, Nome: Subway
Lat: -12.9772290, Lgt: -38.4560429, Tipo: clothes, Nome: Renner
Lat: -12.9795434, Lgt: -38.4534944, Tipo: department_store, Nome: Lojas Americanas
Lat: -12.9777869, Lgt: -38.4554685, Tipo: department_store, Nome: Le Biscuit
Lat: -12.9782678, Lgt: -38.4551574, Tipo: fast_food, Nome: McDonald's
Lat: -12.9783567, Lgt: -38.4542830, Tipo: fast_food, Nome: Bob's
Lat: -12.9792710, Lgt: -38.4534634, Tipo: houseware, Nome: Preçolandia
Lat: -12.9838271, Lgt: -38.4535643, Tipo: bank, Nome: Banco Santander
Lat: -12.9795582, Lgt: -38.4512300, Tipo: restaurant, Nome: Haus
Lat: -12.9786778, Lgt: -38.4606441, Tipo: restaurant, Nome: Malagheta
Lat: -12.9823920, Lgt: -38.4550283, Tipo: pharmacy, Nome: Farmácia Sumaré
Lat: -12.9794381, Lgt: -38.4573256, Tipo: copyshop, Nome: Universitária
Lat: -12.9827068, Lgt: -38.4510443, Tipo: furniture, Nome: Depósito de Sofá
Lat: -12.9825202, Lgt: -38.4539084, Tipo: restaurant, Nome: Maria's
Lat: -12.9837519, Lgt: -38.4538348, Tipo: bank, Nome: Bradesco
Lat: -12.9817159, Lgt: -38.4542595, Tipo: stationery, Nome: Atlas Papelaria
Lat: -12.9796396, Lgt: -38.4569290, Tipo: dentist, Nome: Clean 24h
Lat: -12.9808670, Lgt: -38.4558934, Tipo: bank, Nome: Banco Santander
Lat: -12.9839093, Lgt: -38.4534689, Tipo: car_rental, Nome: Localiza
Lat: -12.9788926, Lgt: -38.4545997, Tipo: appliance, Nome: Magazine Luiza
Lat: -12.9773046, Lgt: -38.4557183, Tipo: supermarket, Nome: Redemix
Lat: -12.9825272, Lgt: -38.4556692, Tipo: parking, Nome: Central Park
Lat: -12.9828351, Lgt: -38.4551913, Tipo: cafe, Nome: Seven Wonders Café
Lat: -12.9828431, Lgt: -38.4551198, Tipo: clinic, Nome: Clínica José Amandio
Lat: -12.9779921, Lgt: -38.4561159, Tipo: cafe, Nome: Nero Café
Lat: -12.9790245, Lgt: -38.4534203, Tipo: cafe, Nome: Chez Café
Lat: -12.9788389, Lgt: -38.4536965, Tipo: cafe, Nome: Clube do Café
Lat: -12.9783823, Lgt: -38.4545368, Tipo: cafe, Nome: Pereira Café
Lat: -12.9778669, Lgt: -38.4561839, Tipo: tea, Nome: Tea Shop
Lat: -12.9785384, Lgt: -38.4552361, Tipo: health_food, Nome: Orgânico
Lat: -12.9785384, Lgt: -38.4543054, Tipo: restaurant, Nome: Alecrim
Lat: -12.9786560, Lgt: -38.4539165, Tipo: restaurant, Nome: Farid
Lat: -12.9787631, Lgt: -38.4539487, Tipo: restaurant, Nome: Sal e Brasa
Lat: -12.9789226, Lgt: -38.4538789, Tipo: restaurant, Nome: La Lupa
Lat: -12.9788954, Lgt: -38.4547587, Tipo: department_store, Nome: Casas Bahia
Lat: -12.9788720, Lgt: -38.4542566, Tipo: houseware, Nome: Camicado
Lat: -12.9780945, Lgt: -38.4555497, Tipo: mobile_phone, Nome: VXCase
Lat: -12.9780443, Lgt: -38.4549616, Tipo: restaurant, Nome: Orgânico
Lat: -12.9783090, Lgt: -38.4558385, Tipo: clothes, Nome: Hering
Lat: -12.9780577, Lgt: -38.4558041, Tipo: clothes, Nome: Malwee
Lat: -12.9791233, Lgt: -38.4541225, Tipo: bureau_de_change, Nome: Confidence Câmbio
Lat: -12.9792297, Lgt: -38.4537188, Tipo: bank, Nome: Banco do Brasil
Lat: -12.9771688, Lgt: -38.4556722, Tipo: atm, Nome: Banco24Horas
Lat: -12.9778390, Lgt: -38.4559851, Tipo: houseware, Nome: T Store
Lat: -12.9774141, Lgt: -38.4555668, Tipo: electronics, Nome: Polishop
Lat: -12.9781473, Lgt: -38.4549981, Tipo: coffee, Nome: Nespresso
Lat: -12.9778256, Lgt: -38.4551563, Tipo: department_store, Nome: Fast Shop
Lat: -12.9775776, Lgt: -38.4556584, Tipo: perfumery, Nome: O Boticário
Lat: -12.9831917, Lgt: -38.4591999, Tipo: childcare, Nome: Pindorama
Lat: -12.9788392, Lgt: -38.4535154, Tipo: bank, Nome: Caixa Econômica Federal
Lat: -12.9779085, Lgt: -38.4552799, Tipo: clothes, Nome: Farm
Lat: -12.9774578, Lgt: -38.4557887, Tipo: pharmacy, Nome: Drogaria São Paulo
Lat: -12.9792977, Lgt: -38.4540853, Tipo: pharmacy, Nome: Pague Menos
Lat: -12.9782265, Lgt: -38.4552365, Tipo: fast_food, Nome: Joy Pizza
